Time_step,Accuracy
3,0.712765957
4,0.712765957
5,0.617021277
6,0.654255319
7,0.54787234
8,0.664893617
9,0.734042553
10,0.734042553
11,0.707446809
12,0.744680851
13,0.734042553
14,0.457446809
15,0.638297872
16,0.70212766
17,0.680851064
18,0.659574468
19,0.712765957
20,0.643617021
21,0.563829787
22,0.734042553
23,0.824468085
24,0.781914894
25,0.723404255
26,0.792553191
27,0.781914894
28,0.755319149
29,0.638297872
30,0.75
31,0.723404255
32,0.70212766
33,0.781914894
34,0.65
35,0.787234043
36,0.771276596
37,0.696808511
38,0.60106383
39,0.675531915
40,0.632978723
41,0.734042553
