Day,Accuracy_Validation
20,23.95448088645935
21,27.069701552391052
22,37.22617357969284
23,35.064011216163635
24,35.604552030563354
25,40.483641028404236
26,45.8321487903595
27,50.55476486682892
28,58.06543409824371
29,54.850640296936035
30,56.35846257209778
31,52.21906125545502
32,53.17211925983429
33,51.066855788230896
34,51.578946113586426
35,44.139403104782104
36,53.74110996723175
37,54.75106656551361
38,55.87482213973999
39,50.028449296951294
40,54.73684251308441
41,51.62162184715271
