Algorithm_Name,TP,FP,FN,TN,FA,TP_Precision,TP_Recall,TN_Precision,TN_Recall,F1_pos,F1_neg,F1_Avg,Geometric_mean,Balanced_Accuracy,Y_score,AUC,Train_Run_Time,Prediction_Run_Time,Total_Run_Time
CDDRL-Tabu10+Params,6.2,5.89,5.51,29.4,0.17,0.47,0.55,0.85,0.83,0.49,0.84,0.66,0.62,0.69,0.67,0.74,8.227224,97.499375,105.726599
CDDRL-Ensemble_BNs,6.35,5.96,5.4,29.29,0.17,0.48,0.54,0.85,0.83,0.5,0.84,0.67,0.63,0.69,0.68,0.76,8.256691,364.823346,373.080037
CDDRL-Ensemble_Methods,6.19,6.09,5.56,29.16,0.17,0.47,0.53,0.85,0.83,0.48,0.83,0.65,0.61,0.68,0.67,0.75,53.592497,318.124849,371.717346
KNN-ADWIN,3.91,3.31,5.49,24.89,0.12,0.82,0.41,0.82,0.88,0.45,0.85,0.65,0.57,0.65,0.66,0.7,12.4089179,41.17671442,53.58563232
AWE,3.55,3.09,5.85,25.11,0.11,0.82,0.38,0.82,0.89,0.38,0.84,0.61,0.47,0.63,0.64,0.5,8.567661762,4.623512983,13.19117475
DWM,5.16,6.33,4.24,21.87,0.23,0.84,0.55,0.84,0.77,0.49,0.79,0.64,0.61,0.66,0.66,0.5,2.156040907,1.40507555,3.561116457
LNSE,4.29,5.39,5.11,22.81,0.19,0.82,0.46,0.82,0.81,0.43,0.81,0.62,0.57,0.63,0.63,0.72,6.816579342,28.37544918,35.19202852
SRP,4.73,5.25,4.67,22.95,0.19,0.78,0.5,0.78,0.81,0.49,0.79,0.64,0.57,0.66,0.68,0.76,32.18765283,27.83244872,60.02010155
SAM-KNN,3.14,1.76,6.26,26.44,0.06,0.81,0.33,0.81,0.94,0.4,0.86,0.63,0.48,0.64,0.67,0.5,4.434444427,1.269385338,5.703829765
VFDR,4.98,5.54,4.42,22.66,0.2,0.83,0.53,0.83,0.8,0.47,0.81,0.64,0.58,0.67,0.66,0.71,0.72144413,2.06574893,2.78719306
RSLVQ,5.85,13.08,3.55,15.12,0.46,0.76,0.62,0.76,0.54,0.37,0.57,0.47,0.39,0.58,0.56,0.5,5.220582485,0.249126196,5.469708681
OBC,6.3,10.94,3.1,17.26,0.39,0.77,0.67,0.77,0.61,0.48,0.66,0.57,0.56,0.64,0.62,0.71,430.5709128,201.5266514,632.0975642
ARF,5.46,8.72,3.94,19.48,0.31,0.75,0.58,0.75,0.69,0.47,0.69,0.58,0.53,0.64,0.63,0.72,32.15654802,8.592077732,40.74862576
