Time_Step,W_Precision,W_Recall,W_F1,W_AUC,Kappa,Matthews,Multiclass Accuracy,Multiclass Accuracy
1,0.06,0.25,0.1,0.5,0,0,0.25,0.25
2,0.06,0.25,0.1,0.5,0,0,0.25,0.25
3,0.61,0.35,0.32,0.64,0.13,0.15,0.35,0.35
4,0.22,0.32,0.22,0.74,0.1,0.13,0.32,0.32
5,0.44,0.59,0.5,0.77,0.46,0.49,0.59,0.59
6,0.37,0.39,0.37,0.65,0.19,0.2,0.39,0.39
7,0.82,0.74,0.72,0.95,0.66,0.69,0.74,0.74
8,0.45,0.52,0.44,0.72,0.36,0.39,0.52,0.52
9,0.84,0.82,0.82,0.98,0.77,0.77,0.82,0.82
10,1,1,1,1,1,1,1,1
11,0.99,0.99,0.99,1,0.99,0.99,0.99,0.99
12,0.98,0.98,0.98,0.99,0.98,0.98,0.98,0.98
13,0.77,0.68,0.63,0.9,0.57,0.6,0.68,0.68
14,0.89,0.81,0.78,0.96,0.74,0.78,0.81,0.81
15,0.95,0.95,0.95,1,0.93,0.93,0.95,0.95
16,0.98,0.98,0.98,1,0.98,0.98,0.98,0.98
17,0.99,0.99,0.99,1,0.99,0.99,0.99,0.99
