Time_Step,W_Precision,W_Recall,W_F1,W_AUC,Kappa,Matthews,Multiclass Accuracy
1,1,1,1,0.5,1,1,1
2,1,1,1,0.5,1,1,1
3,0.27,0.29,0.22,0.5,0.06,0.07,0.29
4,0.08,0.25,0.12,0.5,0,0,0.25
5,0.07,0.25,0.1,0.5,0,0,0.25
6,0.15,0.27,0.13,0.5,0.02,0.06,0.27
7,0.44,0.39,0.27,0.5,0.19,0.24,0.39
8,0.7,0.46,0.4,0.5,0.28,0.33,0.46
9,0.33,0.45,0.36,0.5,0.27,0.29,0.45
10,0.65,0.58,0.54,0.5,0.44,0.47,0.58
11,0.79,0.63,0.55,0.5,0.51,0.57,0.63
12,0.8,0.78,0.77,0.5,0.7,0.71,0.78
13,0.51,0.65,0.56,0.5,0.53,0.58,0.65
14,0.83,0.72,0.66,0.5,0.62,0.67,0.72
15,0.78,0.79,0.77,0.5,0.72,0.73,0.79
16,0.82,0.79,0.77,0.5,0.72,0.75,0.79
17,0.85,0.64,0.59,0.5,0.52,0.61,0.64
